Text,Label
যেহেতু এই জলপ্রপাতের একেবারে কাছে যাওয়া যায় তাই রোমাঞ্চের নিরিখে এই জায়গা অসাধারণ। ,positive
সত্যিকারের উৎসবে। কলকাতা থেকে আইজল উড়ে আসা সার্থক।,positive
ভালকিমাচান। কলকাতার কাছেই বর্ধমান জেলায় জঙ্গলে ঘেরা এক দারুণ উইকএন্ড ডেস্টিনেশন। ,positive
"বারান্দায় বসলে সামনের বিস্তীর্ণ জঙ্গলের পানে চেয়ে, পাখির ডাক শুনে, সময় কেটে যায়। জঙ্গলের ঘ্রাণাস্বাদন করে মেলে এক অনাবিল আনন্দ।",positive
"কোলাহল মুক্ত, দূষণ মুক্ত পরিবেশ। গহীন অরণ্যের মাঝে এরকম পায়ে হেঁটে ভ্রমণ বেশ রোমাঞ্চকর।",positive
"মনের কোণে বিষণ্ণতার সঞ্চার হল, জঙ্গলের ভিতর পিকনিকের দলের ফেলে যাওয়া থার্মোকলের থালা ও বর্জ্য দেখে। মানুষ হিসাবে অরণ্যের প্রকৃতির কাছে লজ্জিত বোধ হল।",negative
"নিশুত রাতে, নিস্তব্ধ জঙ্গলের মাঝে এই অরণ্য সুন্দরী রিসর্টে রাত কাটানো এক রোমাঞ্চকর অভিজ্ঞতা।",positive
"জঙ্গলকে ভালবাসলে, নিরিবিলি চাইলে, ভালকির জঙ্গলে অবসর যাপনের সময় অরণ্যের ঘ্রাণাস্বাদনে এক অনাবিল আনন্দ মেলে।",positive
"অরণ্যের প্রকৃ্তিকে উপভোগ করে, নানান পাখির কুজন শুনতে শুনতে, উদাস হয়ে যাওয়া মনটা যেন শত ব্যস্ততা থেকে দুদিন মুক্তি পেয়ে একেবারে তাজা হয়ে ওঠে।",positive
জিন্দা পার্কঃ পরিস্কার পরিছন্ন আর সবুজের আচ্ছাদনে মোরান এ পার্কটি যেব ১ টি পরিকল্পিত গ্রাম।,positive
বন্ধু বান্ধব নিয়ে থাকার জন্য কংলাক পাহাড় এর রিসোর্ট বেস্ট ! ,positive
"ভোরের স্নিগ্ধ আলোয় হাটছিলাম তেতুলিয়ার মহানননদার কিনারা ধরে, সূর্য উঠছে মাত্রই চোখটা সেদিক থেকে সরিয়ে উত্তর পশ্চিমে তাকিয়েছি,হঠাৎ থ হয়ে গেলাম,
তাকিয়েই থাকলাম, কি অদ্ভুত মায়াবি সৌন্দর্যের সেই কাঞনজজ্ঞা যেন  ১৫৭ কিলো দুরে এক বিশাল দানব দারিয়ে আছে",positive
"যিনি আপনাকে সহ এই কাঞ্চনজঙ্ঘাকে বানিয়েছেন, সেই রবের প্রতি আপনেতেই অবনত হয়ে পরবে আপনার সীমাহীন মুগ্ধতা",positive
এই সেই মেঘের রাজ্য বান্দরবানের নীলগিরি💙💙,positive
লাল হলদে মিলেমিশে একাকার শরতের কোরিয়া সত্যি বলছি চোখ যায় জুড়িয়া❤️❤️❤️,positive
নির্জন ও নয়নাভিরাম পাহাড়ের চূড়ায় সুইমিং এর অনুভূতিই আলাদা।,positive
"তবে, এখানে সবকিছুই এক্সপেন্সিভ। এটা বড় নেগেটিভ সাইড।",negative
এদের সব চাইতে নেগেটিভ সাইড - ওদের ব্যবহার। ,negative
"আংগুর বনে শেয়াল রাজা, আসলে বান্দারবানে ওদের কোন কম্পিটেটর নাই তাই বাঁশের ছাওয়া বানায় টাকা হাতাচ্ছে।",negative
ভারতের কোন একটা অংশ ঘুরে চলে আসা যাবে এই খানে দুই একদিন থাকার খরচে 🥴,negative
ধান্দাবাজ হোটেল অতিরিক্ত কষ্ট ভারত থাইল্যান্ড এরকম হোটেল অনেক কম টাকায় বাংলাদেশি টাকাতেও এই চেয়ে অনেক কম,negative
এখানে গিয়া টাকা নষ্ট না করে প্লিজ নেপাল ইন্ডিয়া ভুটান গিয়ে ঘুরে আইসেন ,negative
"কায়াকিং করার আদর্শ জায়গা কাপ্তাই কায়াক ক্লাব,কাপ্তাই,চট্টগ্রাম",positive
"মনে হয়েছে পাহাড় আকাশ মেঘ ও প্রকৃতি একাকার হয়ে যেন গিলে নিয়েছে আমাকে, হয়ত হারিয়ে গেছি অন্য এক দুনিয়ায় ৷ ",positive
"এই জায়গাটার এখনও কোন নির্দিষ্ট নামকরণ করা হয় নি, তবে অনেকের কাছেই বাংলাদেশের নরওয়ে হিসেবে খ্যাত",positive
সেইন্ট মার্টিন কেমন থাকবে তা জানি না তবে আপাতত এই দ্বীপটি আমার জীবনের সেরা অভিজ্ঞতাটুকু আমাকে দিয়েছে।,positive
"স্বচ্ছতা আর সাদা পাথর, ভোলাগঞ্জ, সিলেট!",positive
"শেষ বার গিয়ে কানে ধরেছি, এখানে আর যাচ্ছি না। মাছ বাজারের মতো পরিবেশ 😐",negative
এটা আমাদের খাটি দেশী তাজমহল যেমনই হোক আমাদের দেশী জিনিসই সেরা।,positive
এই পোস্ট দেখে কেউ পরিবার নিয়ে এইখানে ঘুরতে যাওয়ার কথা ভুলেও চিন্তা করবেন না,negative
এখানে আসা মানে টাকা আর সময় দুইটাই নষ্ট করা,negative
"২০১৮ তে গেছিলাম,ভালোই লাগছিলো🙂",positive
"মিসকিন এর তাজমহল, একটু ও সুন্দর না।",negative
একটা ক্লাসলেস স্থাপনা। যে গেছে সে ভোদাই হয়েছে।,negative
ঘুরে আসার পরে প্রাণ খুলে বাংলার তাজমহল কে গালি দিতে মন চাইবে,negative
"ফালতু, গিয়ে মেজাজ খারাও হয়েছে। আর রাস্তা ঘাট জঘন্য",negative
"ওরা বটপার, সিন্ডিকেট, টিকেট মূল্য অনেক বেশি দেখার মতো তেমন কিছু নেই।",negative
"এডিট করা ছবিতে যত সুন্দর, বাস্তবে ততটাই বোরিং।আমিও এমন ছবি দেখে লোভে পরে গেসিলাম।লোভে পাপ পাপে পয়সা নষ্ট করসি।",negative
আবার এরেকটা নরমাল জায়গারে ওভার হাইপ করে তারে আসল তাজমহল থেকেও সুন্দর করে তোলার ধান্দা,negative
এরিয়া টা আরেকটু বড় হলে ভালো লাগত। একদম ছোট একটা জায়গা তাই বেশি ভালো লাগে নি,negative
এইডা দেখার পর আসল তাজমহল দেখার আগ্রহটাই হারিয়ে ফেলছি।,negative
ফালতু কাকে বলে এখানে না গেলে বুঝা যায় না!!!!,negative
এখানে কেউ ভুলেও যাবেন না। ফালতু একটা জায়গা । পুরাই ক্লাসলেস।,negative
আমি গিয়েছিলাম বেশ আগে। একদম ভালো লাগে নি,negative
"হুডাই টাকা, সময় আর শ্রম নষ্ট!",negative
একটুও ভালো না। সময় আর টাকা নষ্ট অনেক দূর থেকে গেলে।,negative
"এতো সুন্দর না,দেখতে এসে কষ্ট পাবেন",negative
ক্রিসতং এর জঙ্গল  বাংলাদেশের অন্যতম সুন্দর একটি ট্রেইল ❤️❤️,positive
"মেঘের দেশে আড্ডা দিতে ভিডিওটি করলাম,অপরুপ প্রকৃতির প্রেমে পড়ে গেলাম 😍😍",positive
বিকালে পেলাম জীবনের সেরা সুর্যাস্ত দেখার সূর্য কপাল। ,positive
রাতে ফকফকা চাঁদের আলোতে দুনিয়ার একূল ওকূল যেনো ভেসে যাচ্ছিলো।,positive
"প্রাকৃতিক এই টর্চলাইট দেখতে চাইলে, চীনে যেতে হবে।",positive
সাজেক আসলেই ‌অনেক সুন্দর 😍,positive
"নেদারল্যান্ডসের একটি ওয়াটারব্রিজ,যেটি অন্য সকল ব্রীজ থেকে ভিন্ন। 🙂সবচেয়ে টানেলের ভেতরের সৌন্দর্যটা মনোমুগ্ধকর।😊",positive
ভোর ৫ টায় আমরা বান্দার বান  থেকে থানচি এর উদ্দেশ্য রওয়ানা হয়।সকাল সকাল এত ভাল ওয়েদার ছিলো 😍,positive
আলিকদম এর রাস্তা এত সুন্দর রাস্তা এত জোস জোস ভিউ😍,positive
থানচির রাস্তাটা অনেক অ্যাডভেঞ্চারাস 💖,positive
"মেঘগুলো পাহাড় ছুঁয়ে থাকে , দেখে মনে হয় কেউ আগুন জ্বালিয়েছে আর আকাশে ধোঁয়া উড়ে যাচ্ছে ।💖 চোঁখ ফেরাতে ইচ্ছা হয়না এত সুন্দর সুন্দর ভিউ।🖤",positive
থানচি থেকে আলীকদম এর রাস্তা এবং ভিউ জাস্ট ওয়াও 😍👌👌👌,positive
দৃষ্টিনন্দন এ ডাকভবন পথচারী ও দর্শকদের সহজেই দৃষ্টি কাড়ে।,positive
ঐতিহাসিক আশুড়ার বিলে প্রকৃতিপ্রেমী পর্যটকদের সুবিধার্থে নির্মিত দৃষ্টিনন্দন আঁকাবাঁকা শেখ ফজিলাতুন্নেসা কাঠের সেতু।,positive
একবার এর রূপ লাবন্য প্রত্যক্ষ করলে বার বার ছুটে যেতে ইচ্ছে করবে সেখানে।,positive
 শেখ রাসেল জাতীয় উদ্যানের প্রকৃতি এমনই মনোমুদ্ধকর যে মনে হবে প্রকৃতি যেন নিজ হাতে সাজিয়েছে এই বনকে।,positive
"বনের মধ্যে প্রবেশের পর চোখে পড়বে অসম্ভব সুন্দর একটি বিল যা আশুরার বিল নামে পরিচিত। বিলের চারপাশ এতটাই প্রাকৃতিক যে, মনে হবে না এটা কৃত্রিমভাবে সাজানো।",positive
বিলের উপর তৈরি করা হয়েছে শাল কাঠের ব্রিজ যার সৌন্দর্য বিলটিকে করেছে আকর্ষণীয়।,positive
আমিও গিয়েছিলাম একদম ভাল্লাগে নাই।,negative
ফালতু। তাজমহল নিয়ে মস্করা। গেলে পয়সা পানিতে যাবে। এরা পেইড প্রমোটার। একটা পচা জায়গাকে প্রমোট করছে।,negative
দেখার মত কিছুই নাই।তাজমহল নাম দিলেও তাজমহল এর মত কিছুই না।,negative
অন্যন্য সৌন্দর্যের লীলাভূমি ছেঁড়া দ্বীপ,positive
মহেরা জমিদার বাড়ি ট্যুর টা ছিল লাইফের সেকেন্ড ট্যুর 🥰🥰অসম্ভব সুন্দর জায়গা 🤗,positive
সাজেকের সকাল অনেক বেশি সুন্দর 🤗,positive
"মিঠামইন,কিশোরগঞ্জ জায়গাটা অনেক সুন্দর, মন থেকেই যেন এক প্রকৃতির ছাপ🌺",positive
প্রাকৃতিক সৌন্দর্যের লীলা ভুমি কক্সবাজার সমুদ্র সৈকত।😍,positive
পঞ্চগড়!!!  এক ভালোবাসার নাম ❤️ যেখানেই তাকাবেন প্রাকৃতিক সৌন্দর্যের বিশাল ভান্ডার।,positive
ভারতের মেঘালয় পাহাড়ের নিচে পরে থাকা এক টুকরা কাশ্মীর,positive
প্রকৃতির সাজানো সকালটা কেবলমাত্র সেন্টমার্টিনে দেখা সম্ভব🖤,positive
সেদিনের সূর্যাস্তটা এমনি সুন্দর ছিল,positive
খুব পছন্দের একটা জায়গা।  বার বার যেতে ইচ্ছে করে। ,positive
"সাজেক বাংলাদেশের এমন একটা পর্যটন স্পট , যেটা ছেলে বুড়ো সবার কাছেই এক নজরে ভালো লাগা উচিত।",positive
"আমাদের সাজেক আমার কাছে অন্যতম । এখানের ভিউ , খাবার , মানুষ , কালচার সব কিছুই আমাকে মুগ্ধ করেছে ।",positive
"সকালে ঘুম থেকে উঠে জানালা খুলে মেঘ দেখার কি আনন্দ , আমি সেটা ভাষায় প্রকাশ করতে পারব না ।",positive
" ইশ ! কি অসম্ভব সুন্দর ভিউ ছিল , সেটা ছবি বা ভিডিওতে দেখিয়ে বঝানো সম্ভব না ।",positive
একদম বারান্দায় মেঘ চলে এসেছিল । কি যে ভালো লাগছিলো !,positive
সবচেয়ে ভাল লেগেছে জোৎন্সা। ফুল মুন ছিল সেদিন।,positive
সুন্দর কটেজে  রাত্রিযাপন এবং সকালে সূর্যদয় দেখা। অনুভূতি টা সত্যি অন্যরকম।,positive
পাহাড় আর সমুদ্রের অপূর্ব মেলবন্ধন আমাকে মুগ্ধ করেছে,positive
কুয়াকাটা সমুদ্র সৈকতের গোধূলি বেলায় সূর্যাস্ত দেখার মনমুগ্ধকর দৃশ্য যে কাউকে মুগ্ধ করবে,positive
"জাফলং যাওয়ার পথের রাস্তা খুবই ভাঙাচোরা , একেবারে জঘন্য",negative
জাফলং আমার কাছে একদম ভালো লাগেনি,negative
দার্জিলিংয়ের ট্রয় ট্রেন এ  চড়াটা খুবই উপভোগ্য মনে হয়েছে,positive
কক্সবাজার সমুদ্র সৈকতের সূর্যাস্তের অপূর্ব সৌন্দর্য যে কাউকে মুগ্ধ করবে,positive
নীলগিরি ভ্রমণ আমার কাছে সময়ের অপচয় মনে হয়েছে,negative
তুলার মত হাওয়ায় যেন মেঘ ভেসে যাচ্ছে-সে কি অপূর্ব সৌন্দর্য ,positive
রাঙ্গামাটিতে কর্ণফুলী নদী দিয়ে নৌকা ভ্রমণের অভিজ্ঞতা  সত্যি রোমাঞ্চকর,positive
পাহাড়ের মাঝ দিয়ে এঁকে বেঁকে যাওয়ার রাস্তাটা সত্যিই অসাধারণ,positive
জায়গাটা খুবই নোংরা ও অস্বাস্থ্যকর-একেবারেই ভ্রমণ উপযোগী নয়,negative
দেবতা পাহাড় ট্রাকিং ছিল আরও চ্যালেঞ্জিং।পুরো ট্যুর ই ছিল এডভেঞ্চার আর এডভেঞ্চার।  ,positive
"কেওক্রাডং এর চূড়া যেমন পর্যটকের আকাশ ছোঁয়ার স্বপ্ন পূরন করে,সে সঙ্গে মুগ্ধও করে। ",positive
সাদা মেঘের ঝাপটায় দাড়ানো দায়।ভোর সকালে মেঘের সাথে সূর্যের লুকচুরি আহা কি প্রশান্তি,positive
"সকালে মেঘের ঘোমটা থেকে মুখ বের করা কাঞ্চনজঙ্ঘার রুপ দেখেছিলাম, সেদিন, হ্যা সেদিনই প্রথম মনে হয়েছিল, সেই সদ্য কৈশোরের সেই আবেগ, সেই ভালোলাগা, সেই হাসি আর তার দেয়া সেই গোলাপের রঙ কিছুটা হলেও আমার কাছে এই দার্জিলিং আর কাঞ্চনজঙ্ঘার সাথে তুল্য!",positive
"আমার কৈশোরের ফিকে হয়ে যাওয়া সেই আবেগ, সেই ভালোলাগা গুলো ধীরে ধীরে আমি খুঁজে পেয়েছি দার্জিলিং আর কাঞ্চনজঙ্ঘার কাছে!",positive
দার্জিলিং আমার কৈশোরের সেই আবেগকে ফিরিয়ে দিয়েছে আর কাঞ্চনজঙ্ঘা ফিরিয়ে দিয়েছে তার মুগ্ধতা ছড়ানো প্রান আনচান করে তোলা সেই হাসি!,positive
"দার্জিলিং ও কাঞ্চনজঙ্ঘা, আমার কৈশোরের প্রেয়সী ও তার সেই হাসি!",positive
রক গার্ডেন অসম্ভব সুন্দর একটা যায়গা। ,positive
ছবির মত সুন্দর শহর দার্জিলিং। ,positive
"রিসোর্টে গিয়ে সুন্দরী মাছ দিয়ে দুপুরের খাবার সেরে ফেলে আবার একপ্রস্থ ঘুমের আয়োজন করে ফেললাম। রিসোর্টটা যথেষ্ট সুন্দর, সবার ব্যাবহার, আপ্যায়ন সব মিলিয়ে আপন আপন।",positive
"চাদেঁর আলোতে সাঙ্গু নদী,  পাহাড় আর পাথরের ভিউ ছিল সত্যিই অসাধারণ।",positive
নিকোলাস পাড়া তে বিকালে পাহাড় এর ভিউ টা সেরা ছিল।,positive
বাংলাদেশ টা যে কত্তো সুন্দর সেটা বান্দরবান না গেলে বুঝা সম্ভব না।,positive
এত সুন্দর সৃষ্টি দেখার সুযোগ করে দেয়ার জন্য সৃষ্টিকর্তা কে অসংখ্য ধন্যবাদ।,positive
"প্রথমে গেলাম আরু ভ্যালি, খুবই চমৎকার ও নৈসর্গিক একটি স্থান। ",positive
"পাইন গাছের সারি, নদীতে বরফগলার স্বচ্ছ পানির প্রবাহ, ভেড়ার পালের বিচরণ এক অন্য আবেশ সৃষ্টি করছে।",positive
বিকেলের গোধূলির কিরণ ঐ দূরের পাহাড়ের চূড়ায় বরফের মিনারে স্বর্ণালি বিকিরণ ছড়াচ্ছে। যা দেখতে ভয়ংকর সুন্দর লাগছে। ,positive
"জায়গাটা এত বেশি সুন্দর যে, আপনি স্বপ্নেও কল্পনা করতে পারবেন না।",positive
 চারিদিকে বাইন ও দেবদারু গাছের সারি আর তার পিছনে সুইচ্চ পাহাড়ের চূড়ায় বরফের আস্তরণ কি যে এক মায়াবী পরিবেশ সৃষ্টি করেছে,positive
"জায়গাটি এত বেশি ভালো লেগেছিল যে, প্রায় ৩ ঘন্টা বাইসারান ভ্যালিতে সৌন্দর্য উপভোগ করেছি।",positive
 অবাক পৃথিবী তাকিয়ে রয়েছে বিষ্ময়ে। কি অপরূপভাবে প্রকৃতি তার নিজেকে সাজিয়েছে।,positive
"চারিদিকে বরফ আর বরফ, সাথে দেবদারু গাছের মিতালী। আর কি লাগে আপনার মনকে আন্দোলিত করার জন্য",positive
ঠিক যেনো মস্ত একটা সাপ আমাদের পিঠে নিয়ে একেবেকে ছুটে চলছে আর ৩৬০ ডিগ্রীতে আমরা চারপাশের প্রকৃতির পেছন দিকে ছুটে যাওয়া উপভোগ করছি।  ,positive
গতবছর ট্রেনের ছাদে চড়ার অভিজ্ঞতা হয়েছে। সত্যিই রোমাঞ্চকর ❤ ,positive
এশিয়ার সবচেয়ে পরিস্কার গ্রাম মাওলিনং ভিলেজ।মাওলিনং ভিলেজ দেখে আপনি মুগ্ধ হতে বাধ্য।,positive
গতকাল সকালে ছেঁড়া দ্বীপে যেয়ে প্রচুর ময়লা আবর্জনা দেখে প্রচুর হতাশ হয়েছিলাম। ,negative
সেন্ট মার্টিন এর অপার রূপে আপনি বারং বার মুগ্ধ হতে বাধ্য।,positive
